               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.035696,            0.011383,           0.0032993,             0.98899,             0.99019,             0.99138,             0.74032,            0.023795,            0.007758,            0.002664,           0.0075119,           0.0075119,            0.019612
                  80,            0.031858,            0.011188,           0.0031479,             0.92631,             0.98821,             0.96291,             0.63371,             0.02794,            0.008431,            0.002624,           0.0075749,           0.0075749,            0.018575
                  81,            0.033023,            0.011514,           0.0028131,             0.98696,             0.99629,             0.99252,             0.75142,            0.025253,            0.007093,           0.0020663,           0.0076368,           0.0076368,            0.017537
                  82,            0.031815,            0.010798,           0.0021305,              0.9768,             0.99525,             0.98906,             0.69877,            0.025897,           0.0071367,           0.0019835,           0.0076976,           0.0076976,            0.016498
                  83,            0.032916,            0.011221,            0.002537,             0.98777,             0.99632,             0.99287,             0.75376,            0.023641,            0.007067,           0.0022671,           0.0077574,           0.0077574,            0.015457
                  84,            0.031096,            0.011126,           0.0024442,             0.97745,             0.98596,             0.98926,             0.75473,             0.02582,           0.0075653,           0.0058917,           0.0078161,           0.0078161,            0.014416
                  85,            0.031472,            0.010953,           0.0025358,             0.98781,             0.99285,             0.99172,             0.77991,            0.023251,           0.0074136,           0.0037847,           0.0078737,           0.0078737,            0.013374
                  86,            0.029539,            0.010837,           0.0026884,             0.97947,             0.99107,             0.99117,             0.74128,            0.029802,           0.0074079,           0.0020728,           0.0079302,           0.0079302,             0.01233
                  87,             0.02881,            0.010616,           0.0021981,             0.99194,             0.99632,             0.99248,             0.76722,            0.021215,           0.0067244,           0.0021671,           0.0079856,           0.0079856,            0.011286
                  88,            0.030643,            0.011043,           0.0020313,             0.98286,              0.9963,             0.99218,             0.77592,            0.027134,           0.0070821,           0.0020453,           0.0080398,           0.0080398,             0.01024
                  89,            0.030792,            0.011863,           0.0028057,             0.98706,               0.989,             0.99226,             0.73325,            0.024989,           0.0071681,           0.0020107,            0.008093,            0.008093,            0.009193
                  90,             0.03047,            0.010998,           0.0028108,             0.98512,             0.99401,             0.99335,             0.78492,            0.023475,           0.0070629,           0.0026967,            0.008145,            0.008145,            0.008145
                  91,            0.030417,            0.011417,           0.0031019,             0.87261,             0.97246,             0.94717,             0.62411,            0.027128,           0.0080941,           0.0024685,            0.008145,            0.008145,            0.008145
                  92,            0.028291,            0.010865,           0.0032019,             0.97782,             0.99632,             0.99304,             0.76569,            0.021622,           0.0070364,           0.0022406,           0.0081068,           0.0081068,           0.0081068
                  93,            0.027393,            0.010504,           0.0023629,             0.94998,             0.99242,             0.99132,             0.73632,            0.022218,           0.0073613,           0.0030342,           0.0080682,           0.0080682,           0.0080682
                  94,            0.029335,            0.011372,           0.0024353,             0.98606,             0.97251,             0.98728,             0.71975,            0.023485,           0.0077419,           0.0029431,           0.0080294,           0.0080294,           0.0080294
                  95,            0.026597,            0.010654,           0.0019108,             0.98523,             0.98413,             0.98852,             0.71844,             0.02828,            0.007626,           0.0025015,           0.0079903,           0.0079903,           0.0079903
                  96,             0.02736,            0.010829,           0.0017419,              0.9823,             0.99038,             0.99173,             0.70002,            0.024231,           0.0073745,           0.0020578,           0.0079509,           0.0079509,           0.0079509
                  97,            0.029276,            0.010992,           0.0020777,             0.99152,             0.99375,             0.99165,             0.73519,            0.020951,           0.0068903,           0.0019964,           0.0079112,           0.0079112,           0.0079112
                  98,            0.028122,            0.010431,           0.0020331,             0.98937,             0.99631,             0.99286,              0.7585,            0.022672,            0.006942,             0.00201,           0.0078713,           0.0078713,           0.0078713
                  99,            0.025745,            0.010064,           0.0017861,             0.99172,             0.99163,             0.99274,             0.75531,            0.024098,           0.0066829,           0.0017944,           0.0078311,           0.0078311,           0.0078311
                 100,            0.026616,            0.010379,           0.0020019,              0.9916,             0.99632,             0.99312,             0.78657,            0.017571,           0.0066373,           0.0020044,           0.0077907,           0.0077907,           0.0077907
                 101,            0.027892,            0.011086,           0.0017974,             0.99255,             0.99632,             0.99126,             0.76166,            0.023246,           0.0069082,            0.001742,             0.00775,             0.00775,             0.00775
                 102,            0.028359,             0.01053,           0.0021982,             0.99071,             0.99629,             0.99293,             0.79503,            0.019194,           0.0065154,           0.0017074,           0.0077091,           0.0077091,           0.0077091
                 103,            0.024726,           0.0099804,           0.0018251,             0.99174,             0.99631,             0.99078,             0.77547,            0.017866,            0.006666,           0.0018368,           0.0076679,           0.0076679,           0.0076679
                 104,            0.026124,            0.010305,           0.0017947,             0.98574,             0.99504,             0.99186,             0.73964,            0.020919,           0.0069524,           0.0019693,           0.0076265,           0.0076265,           0.0076265
                 105,            0.025935,            0.010148,           0.0019203,             0.99121,             0.99632,             0.99276,             0.78812,             0.01968,           0.0067988,           0.0018899,           0.0075848,           0.0075848,           0.0075848
                 106,            0.026778,           0.0097526,           0.0015825,             0.99021,             0.98997,             0.99188,             0.77207,            0.020591,           0.0071318,           0.0022016,            0.007543,            0.007543,            0.007543
                 107,            0.024985,            0.010266,           0.0019436,              0.9898,             0.99518,             0.99301,             0.78462,            0.019324,           0.0066225,            0.002012,           0.0075009,           0.0075009,           0.0075009
                 108,            0.026147,           0.0096199,           0.0015588,             0.98554,             0.99091,             0.99206,             0.78048,            0.018302,           0.0067962,           0.0018896,           0.0074585,           0.0074585,           0.0074585
                 109,            0.023729,           0.0098779,           0.0018833,             0.98615,             0.99266,             0.99386,             0.76731,            0.020582,           0.0068062,           0.0017384,            0.007416,            0.007416,            0.007416
                 110,            0.023959,           0.0099897,           0.0015765,             0.99275,             0.98884,             0.99294,             0.77577,            0.018235,           0.0066306,           0.0015761,           0.0073733,           0.0073733,           0.0073733
                 111,            0.026077,            0.010296,           0.0018083,             0.97789,             0.99481,              0.9919,              0.7819,            0.017639,           0.0068269,           0.0016375,           0.0073303,           0.0073303,           0.0073303
                 112,            0.023865,             0.01016,           0.0015347,             0.99163,             0.99632,             0.99284,             0.81587,            0.018451,           0.0064457,           0.0015103,           0.0072872,           0.0072872,           0.0072872
                 113,            0.023986,           0.0098872,           0.0014891,             0.99182,              0.9963,             0.99327,             0.76778,            0.020253,           0.0066102,           0.0015706,           0.0072438,           0.0072438,           0.0072438
                 114,            0.025139,           0.0097536,           0.0019522,             0.98896,             0.99051,             0.99311,             0.80443,            0.017298,            0.006354,           0.0020439,           0.0072003,           0.0072003,           0.0072003
                 115,            0.023415,           0.0097417,           0.0016398,             0.99214,             0.99487,             0.99349,             0.79386,            0.017539,            0.006455,           0.0014968,           0.0071566,           0.0071566,           0.0071566
                 116,             0.02535,           0.0096835,           0.0013351,             0.98701,             0.99627,             0.99286,             0.82361,            0.016565,           0.0063319,            0.001516,           0.0071127,           0.0071127,           0.0071127
                 117,             0.02431,           0.0099655,            0.001482,             0.99183,             0.99632,             0.99324,              0.7625,            0.020403,           0.0065514,             0.00158,           0.0070686,           0.0070686,           0.0070686
                 118,            0.024547,           0.0096087,           0.0013356,              0.9912,             0.99632,             0.99271,             0.79361,            0.021911,           0.0063798,           0.0016281,           0.0070243,           0.0070243,           0.0070243
                 119,            0.023738,            0.010068,           0.0013261,             0.99073,             0.99632,             0.99295,             0.78124,            0.019196,           0.0063958,           0.0016713,           0.0069799,           0.0069799,           0.0069799
                 120,            0.023111,           0.0093152,           0.0013775,             0.99288,             0.99632,             0.99325,             0.77468,            0.018761,           0.0062712,           0.0014708,           0.0069353,           0.0069353,           0.0069353
                 121,            0.023673,           0.0097176,           0.0010984,             0.99156,             0.99632,             0.99289,             0.80558,            0.018283,           0.0060998,           0.0014072,           0.0068906,           0.0068906,           0.0068906
                 122,            0.022344,           0.0096389,            0.001122,             0.99264,             0.99632,             0.99223,             0.81109,            0.017796,            0.006112,           0.0013795,           0.0068457,           0.0068457,           0.0068457
                 123,            0.023206,           0.0095195,            0.001143,             0.99206,             0.99632,             0.99363,              0.7763,            0.018516,           0.0064294,           0.0014458,           0.0068006,           0.0068006,           0.0068006
                 124,               0.023,           0.0097217,           0.0012544,             0.99277,              0.9963,             0.99286,             0.81154,            0.020022,            0.006183,           0.0015703,           0.0067555,           0.0067555,           0.0067555
                 125,            0.022634,           0.0098326,           0.0013368,             0.99289,             0.99632,             0.99211,             0.78152,            0.019037,           0.0064277,           0.0016183,           0.0067101,           0.0067101,           0.0067101
                 126,            0.024056,           0.0094539,           0.0011982,             0.99986,             0.98943,              0.9933,             0.78896,            0.018735,           0.0063838,           0.0015458,           0.0066647,           0.0066647,           0.0066647
                 127,             0.02215,           0.0096139,           0.0011158,             0.99095,             0.99631,             0.99307,             0.78184,            0.019487,           0.0062249,           0.0013662,           0.0066191,           0.0066191,           0.0066191
                 128,            0.023463,           0.0094546,           0.0013273,              0.9921,             0.99632,             0.99353,             0.79249,            0.018733,           0.0062869,           0.0016316,           0.0065734,           0.0065734,           0.0065734
                 129,            0.021211,            0.009251,           0.0011899,             0.99045,             0.99632,             0.99162,             0.77217,            0.017952,            0.006206,           0.0014479,           0.0065276,           0.0065276,           0.0065276
                 130,            0.022453,           0.0093002,           0.0010157,             0.99196,             0.99632,             0.99112,             0.77613,            0.020926,           0.0062092,           0.0014124,           0.0064816,           0.0064816,           0.0064816
                 131,             0.02255,           0.0092988,           0.0010563,             0.99215,             0.99632,             0.99129,             0.81214,            0.016573,           0.0060812,           0.0014101,           0.0064356,           0.0064356,           0.0064356
                 132,            0.020947,            0.008911,           0.0010617,              0.9924,             0.99632,             0.99339,             0.81475,            0.015605,           0.0058931,           0.0013399,           0.0063895,           0.0063895,           0.0063895
                 133,            0.023037,           0.0091544,          0.00096759,             0.99201,             0.99632,             0.99256,             0.79636,            0.016981,           0.0062067,           0.0013448,           0.0063432,           0.0063432,           0.0063432
                 134,              0.0228,           0.0097014,           0.0011418,             0.99198,             0.99632,             0.99264,             0.79154,            0.018876,           0.0063864,           0.0013949,           0.0062969,           0.0062969,           0.0062969
                 135,            0.022208,           0.0091924,           0.0011285,             0.99257,             0.99632,             0.99228,             0.81208,            0.016508,           0.0060514,           0.0014223,           0.0062505,           0.0062505,           0.0062505
                 136,            0.022076,           0.0097711,           0.0010991,             0.99124,             0.99632,             0.99225,             0.79564,            0.016686,           0.0061263,            0.001395,            0.006204,            0.006204,            0.006204
                 137,            0.021478,           0.0092542,          0.00099371,             0.99075,             0.99631,             0.99238,             0.81326,            0.016698,           0.0059625,           0.0013383,           0.0061574,           0.0061574,           0.0061574
                 138,             0.02043,           0.0088556,          0.00089455,              0.9923,             0.99632,             0.99229,             0.80835,            0.016232,           0.0062592,           0.0012786,           0.0061107,           0.0061107,           0.0061107
                 139,            0.021875,           0.0089939,          0.00086127,             0.99234,             0.99632,             0.99305,             0.80769,             0.01891,           0.0060385,           0.0013209,            0.006064,            0.006064,            0.006064
                 140,            0.020976,           0.0089925,            0.001053,             0.99293,             0.99632,             0.99264,             0.81401,            0.016244,           0.0060356,           0.0013595,           0.0060172,           0.0060172,           0.0060172
                 141,              0.0206,           0.0085277,          0.00094515,             0.99286,             0.99632,             0.99278,             0.79758,            0.018292,           0.0063492,           0.0013082,           0.0059704,           0.0059704,           0.0059704
                 142,            0.022358,           0.0089768,          0.00087652,             0.99207,             0.99632,             0.99202,             0.80163,            0.016678,           0.0060772,           0.0012785,           0.0059235,           0.0059235,           0.0059235
                 143,            0.021882,           0.0091444,            0.001209,             0.99211,              0.9963,             0.99045,              0.7993,            0.016043,           0.0059011,           0.0013943,           0.0058766,           0.0058766,           0.0058766
                 144,            0.021511,           0.0093848,           0.0011825,             0.99278,             0.99632,             0.99214,             0.79809,            0.017385,           0.0059159,           0.0013795,           0.0058296,           0.0058296,           0.0058296
                 145,            0.020863,           0.0089195,          0.00086951,             0.99235,             0.99632,             0.99232,             0.78904,            0.016725,           0.0064476,           0.0013379,           0.0057826,           0.0057826,           0.0057826
                 146,            0.020359,           0.0086529,          0.00081184,             0.99206,             0.99632,             0.99264,             0.80446,            0.015786,           0.0059701,           0.0012715,           0.0057355,           0.0057355,           0.0057355
                 147,            0.020178,           0.0090415,          0.00083744,             0.99257,             0.99632,             0.99264,             0.81553,            0.014278,            0.005845,           0.0012216,           0.0056884,           0.0056884,           0.0056884
                 148,             0.01981,           0.0089509,          0.00084009,             0.99134,             0.99632,             0.99234,             0.80021,            0.017196,           0.0061093,           0.0012304,           0.0056413,           0.0056413,           0.0056413
                 149,            0.021027,           0.0088497,          0.00080307,             0.99155,             0.99632,             0.99167,             0.79273,            0.016678,           0.0060708,           0.0012455,           0.0055942,           0.0055942,           0.0055942
                 150,            0.020425,           0.0088986,          0.00086075,             0.99197,              0.9963,             0.99233,              0.8013,            0.015958,           0.0059927,           0.0012155,           0.0055471,           0.0055471,           0.0055471
                 151,            0.019919,            0.008645,          0.00088028,             0.99177,             0.99632,             0.99267,             0.81627,            0.014838,           0.0058853,           0.0012811,              0.0055,              0.0055,              0.0055
                 152,            0.020101,           0.0090158,          0.00079757,              0.9912,              0.9963,             0.99262,              0.7983,            0.017923,           0.0064122,           0.0012276,           0.0054529,           0.0054529,           0.0054529
                 153,            0.020115,           0.0088275,          0.00071561,             0.99242,             0.99632,             0.99235,             0.79967,            0.016673,           0.0060069,            0.001219,           0.0054058,           0.0054058,           0.0054058
                 154,             0.01969,           0.0086253,           0.0008384,             0.99253,             0.99632,              0.9919,             0.81339,            0.014954,           0.0059127,           0.0012451,           0.0053587,           0.0053587,           0.0053587
