               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.019665,            0.008869,           0.0016826,             0.98529,             0.99143,              0.9903,             0.82563,            0.014251,           0.0056927,           0.0036938,           0.0085111,           0.0085111,           0.0085111
                  82,            0.020297,           0.0086724,           0.0014519,             0.97913,             0.98654,             0.98852,             0.82423,             0.01355,           0.0056312,           0.0038791,           0.0084759,           0.0084759,           0.0084759
                  83,             0.01966,           0.0087105,           0.0017799,             0.98401,             0.97655,             0.98924,             0.84542,             0.01325,           0.0055093,           0.0058302,           0.0084404,           0.0084404,           0.0084404
                  84,            0.018535,           0.0083709,           0.0016001,             0.98423,             0.99143,             0.98928,             0.83392,            0.012979,           0.0055061,           0.0040404,           0.0084046,           0.0084046,           0.0084046
                  85,            0.018714,           0.0084907,           0.0017244,             0.97754,             0.99143,             0.98859,             0.82684,            0.014078,           0.0055199,           0.0043801,           0.0083684,           0.0083684,           0.0083684
                  86,            0.020464,           0.0087976,           0.0014473,             0.98071,             0.99143,             0.99129,             0.84502,            0.013087,           0.0054882,           0.0036643,           0.0083319,           0.0083319,           0.0083319
                  87,            0.019486,           0.0089403,           0.0015645,             0.98583,             0.98354,             0.98974,             0.84229,            0.014333,           0.0056513,           0.0041902,           0.0082952,           0.0082952,           0.0082952
                  88,            0.018037,           0.0087297,           0.0016667,             0.98682,             0.99141,             0.98702,             0.83809,            0.013733,           0.0055667,           0.0038854,           0.0082581,           0.0082581,           0.0082581
                  89,            0.019242,           0.0089232,           0.0014866,             0.98566,             0.99143,             0.98545,             0.80105,            0.015446,           0.0058057,           0.0039225,           0.0082207,           0.0082207,           0.0082207
                  90,            0.018364,           0.0081848,           0.0015868,             0.98355,              0.9899,             0.98621,             0.83095,            0.013501,           0.0055351,           0.0042752,            0.008183,            0.008183,            0.008183
                  91,            0.017874,           0.0082167,           0.0014866,             0.97939,             0.99143,             0.99037,             0.85069,            0.013681,            0.005418,           0.0039422,            0.008145,            0.008145,            0.008145
                  92,            0.019642,           0.0085058,            0.001558,             0.98325,             0.98141,             0.98999,             0.84185,            0.013644,           0.0056964,            0.004113,           0.0081068,           0.0081068,           0.0081068
                  93,            0.017733,           0.0085898,            0.001476,             0.98481,             0.99141,             0.98715,             0.83544,            0.013363,           0.0055105,           0.0040298,           0.0080682,           0.0080682,           0.0080682
                  94,            0.018514,           0.0082217,           0.0013844,             0.98573,             0.98238,             0.98625,             0.86128,            0.011739,           0.0053511,           0.0045908,           0.0080294,           0.0080294,           0.0080294
                  95,             0.01791,           0.0082892,           0.0013353,             0.98174,             0.98641,             0.99101,             0.84712,            0.012532,           0.0055355,           0.0044188,           0.0079903,           0.0079903,           0.0079903
                  96,             0.01804,           0.0084687,           0.0013514,             0.98613,             0.99143,             0.98968,             0.85302,            0.012216,            0.005255,           0.0035686,           0.0079509,           0.0079509,           0.0079509
                  97,            0.018835,           0.0085116,           0.0011423,             0.98596,              0.9914,             0.98799,             0.84919,            0.012708,           0.0053706,           0.0038578,           0.0079112,           0.0079112,           0.0079112
                  98,            0.018614,           0.0081426,           0.0012934,              0.9859,             0.99143,             0.98432,             0.84146,            0.012668,           0.0053156,           0.0038211,           0.0078713,           0.0078713,           0.0078713
                  99,             0.01869,           0.0085485,           0.0013469,             0.98476,             0.99143,             0.98877,             0.84016,            0.012016,           0.0052418,           0.0035812,           0.0078311,           0.0078311,           0.0078311
                 100,            0.017787,           0.0080235,           0.0011723,             0.98585,             0.98799,             0.98593,              0.8346,            0.012581,           0.0053709,           0.0034884,           0.0077907,           0.0077907,           0.0077907
                 101,            0.017672,           0.0080972,           0.0011689,             0.97982,             0.98627,             0.99049,             0.84592,            0.012477,            0.005376,           0.0046274,             0.00775,             0.00775,             0.00775
                 102,            0.017502,           0.0080556,           0.0010496,             0.98531,             0.98814,             0.98823,             0.85063,            0.012466,           0.0052389,           0.0039018,           0.0077091,           0.0077091,           0.0077091
                 103,             0.01687,           0.0080497,           0.0011311,             0.98652,             0.99143,             0.98705,             0.84844,            0.012267,           0.0052423,           0.0038315,           0.0076679,           0.0076679,           0.0076679
                 104,            0.016571,           0.0077107,           0.0010846,             0.97781,             0.99141,             0.98472,             0.83672,            0.012289,           0.0053363,            0.003857,           0.0076265,           0.0076265,           0.0076265
                 105,            0.017915,           0.0081715,           0.0011596,             0.98674,             0.99143,             0.98814,             0.84929,            0.012041,           0.0053382,           0.0037446,           0.0075848,           0.0075848,           0.0075848
                 106,            0.018316,           0.0080512,           0.0011574,             0.98647,             0.98145,              0.9864,             0.84687,            0.012531,            0.005454,           0.0035592,            0.007543,            0.007543,            0.007543
                 107,            0.017302,           0.0080098,           0.0011333,             0.98688,             0.98153,             0.98809,             0.85218,            0.011717,            0.005309,           0.0035237,           0.0075009,           0.0075009,           0.0075009
                 108,            0.016854,           0.0079133,           0.0013188,             0.98551,             0.99143,             0.98377,             0.85092,            0.011714,           0.0052549,            0.004061,           0.0074585,           0.0074585,           0.0074585
                 109,            0.016383,            0.008308,           0.0010199,             0.98642,             0.99143,             0.98333,             0.82912,            0.013613,           0.0054023,           0.0039505,            0.007416,            0.007416,            0.007416
                 110,            0.016208,           0.0079509,          0.00090927,             0.98658,             0.99143,             0.98366,             0.85535,             0.01135,           0.0051726,           0.0039172,           0.0073733,           0.0073733,           0.0073733
                 111,            0.015776,           0.0078026,          0.00095872,             0.98674,             0.99141,             0.98434,             0.84844,             0.01167,           0.0052775,           0.0039787,           0.0073303,           0.0073303,           0.0073303
                 112,             0.01635,            0.008042,          0.00081313,             0.98564,             0.99143,             0.98452,             0.84185,            0.013219,           0.0054701,           0.0040358,           0.0072872,           0.0072872,           0.0072872
                 113,             0.01706,           0.0081237,           0.0011556,             0.98537,             0.99143,             0.98536,              0.8474,            0.012695,           0.0054168,            0.004096,           0.0072438,           0.0072438,           0.0072438
                 114,            0.016266,           0.0080358,           0.0010391,             0.98633,             0.99139,             0.98554,             0.83834,            0.012459,           0.0054038,           0.0038115,           0.0072003,           0.0072003,           0.0072003
                 115,            0.017057,           0.0079159,           0.0011686,             0.98579,             0.98644,             0.98547,             0.84538,            0.012716,           0.0052814,           0.0040983,           0.0071566,           0.0071566,           0.0071566
                 116,            0.016564,           0.0079524,           0.0011964,             0.98672,             0.99143,             0.98631,             0.84862,            0.012136,           0.0052638,           0.0037789,           0.0071127,           0.0071127,           0.0071127
                 117,            0.016447,             0.00801,           0.0011413,             0.98405,              0.9914,             0.98201,             0.84968,            0.011704,           0.0052048,           0.0038866,           0.0070686,           0.0070686,           0.0070686
                 118,            0.017314,           0.0077268,            0.001305,             0.98545,             0.99143,             0.98457,             0.83978,            0.012728,           0.0052874,           0.0037897,           0.0070243,           0.0070243,           0.0070243
                 119,            0.016478,           0.0082484,           0.0011271,             0.98642,             0.99143,             0.98174,             0.84286,            0.012466,           0.0053949,           0.0036481,           0.0069799,           0.0069799,           0.0069799
                 120,            0.017135,           0.0083918,           0.0011378,             0.98047,             0.98803,              0.9817,             0.85566,            0.012126,           0.0054207,           0.0036442,           0.0069353,           0.0069353,           0.0069353
                 121,            0.016363,           0.0077329,           0.0013492,             0.98616,             0.99137,              0.9841,             0.84896,            0.012357,           0.0053476,           0.0036953,           0.0068906,           0.0068906,           0.0068906
                 122,            0.016335,            0.008101,           0.0014188,             0.98641,             0.99143,             0.98435,             0.83864,            0.013378,           0.0053477,           0.0033576,           0.0068457,           0.0068457,           0.0068457
                 123,             0.01781,           0.0083075,           0.0010511,             0.98505,             0.99142,             0.98359,             0.85585,            0.011954,           0.0052722,           0.0031254,           0.0068006,           0.0068006,           0.0068006
                 124,            0.016116,           0.0083333,           0.0010042,             0.98647,             0.99138,             0.98446,             0.83169,            0.012571,           0.0054953,           0.0033132,           0.0067555,           0.0067555,           0.0067555
                 125,            0.015902,           0.0077733,           0.0010063,             0.98614,             0.99142,             0.98411,             0.84602,            0.012447,           0.0052995,           0.0036519,           0.0067101,           0.0067101,           0.0067101
                 126,            0.016313,           0.0076649,            0.000881,             0.98616,             0.99143,             0.98247,             0.85051,            0.011577,           0.0053047,           0.0035526,           0.0066647,           0.0066647,           0.0066647
                 127,            0.015255,           0.0074465,           0.0010027,             0.98653,             0.99143,             0.98354,             0.85627,            0.011793,           0.0052754,           0.0036066,           0.0066191,           0.0066191,           0.0066191
                 128,            0.016157,           0.0078104,          0.00096583,             0.98678,             0.99143,             0.98456,              0.8513,            0.012802,           0.0053354,           0.0035396,           0.0065734,           0.0065734,           0.0065734
                 129,            0.015809,            0.007845,           0.0011488,             0.98693,             0.99143,             0.98454,             0.85421,            0.011918,           0.0052733,           0.0034024,           0.0065276,           0.0065276,           0.0065276
                 130,            0.016297,           0.0076026,          0.00098649,             0.98378,             0.98753,             0.98701,             0.84419,            0.012284,           0.0054469,           0.0041063,           0.0064816,           0.0064816,           0.0064816
                 131,            0.015706,           0.0080148,          0.00086164,             0.98407,             0.98626,             0.98789,              0.8437,             0.01202,           0.0054263,           0.0040806,           0.0064356,           0.0064356,           0.0064356
                 132,             0.01539,           0.0074578,          0.00084702,             0.98479,             0.98701,             0.98551,             0.84976,            0.011995,           0.0053912,           0.0038691,           0.0063895,           0.0063895,           0.0063895
                 133,            0.015194,           0.0072682,          0.00086436,             0.98344,             0.98738,             0.98215,             0.85292,            0.012109,           0.0053262,           0.0039406,           0.0063432,           0.0063432,           0.0063432
                 134,            0.014927,           0.0078069,          0.00097652,             0.98616,               0.987,             0.98584,             0.85814,            0.012281,           0.0053764,           0.0037357,           0.0062969,           0.0062969,           0.0062969
                 135,            0.015143,           0.0075533,           0.0010066,             0.98292,             0.99142,             0.98374,             0.85185,            0.012084,           0.0052513,           0.0035274,           0.0062505,           0.0062505,           0.0062505
                 136,            0.015634,           0.0076955,           0.0012036,             0.98509,             0.98654,             0.98309,              0.8551,            0.011634,           0.0052167,           0.0038091,            0.006204,            0.006204,            0.006204
                 137,            0.015453,           0.0075191,          0.00088859,             0.98344,              0.9864,             0.98217,             0.85716,            0.011794,            0.005238,            0.004142,           0.0061574,           0.0061574,           0.0061574
                 138,            0.015213,           0.0078198,          0.00096698,              0.9832,             0.98942,             0.98293,              0.8522,            0.011658,           0.0052438,            0.003739,           0.0061107,           0.0061107,           0.0061107
                 139,            0.015164,           0.0076607,           0.0012324,             0.98645,             0.99143,             0.98205,             0.85249,            0.011701,           0.0052646,           0.0036802,            0.006064,            0.006064,            0.006064
                 140,            0.014336,           0.0074591,          0.00091398,             0.98486,              0.9914,             0.98106,             0.85151,            0.011966,           0.0053745,           0.0037379,           0.0060172,           0.0060172,           0.0060172
                 141,            0.014501,            0.007493,           0.0007605,             0.98597,             0.99143,             0.98205,             0.85688,            0.011924,           0.0053415,           0.0035302,           0.0059704,           0.0059704,           0.0059704
                 142,            0.015071,           0.0076534,          0.00083859,             0.98557,             0.99143,             0.98199,             0.85435,            0.011511,           0.0052246,           0.0035965,           0.0059235,           0.0059235,           0.0059235
                 143,            0.015093,            0.007485,          0.00083889,             0.98551,             0.99141,             0.98666,             0.85046,            0.012002,           0.0052217,           0.0036185,           0.0058766,           0.0058766,           0.0058766
                 144,            0.014865,           0.0076756,          0.00074573,             0.98478,             0.99143,             0.98542,              0.8596,            0.011848,           0.0053988,           0.0035065,           0.0058296,           0.0058296,           0.0058296
                 145,            0.013923,           0.0076396,           0.0008101,             0.98383,             0.99139,             0.98113,             0.84806,             0.01207,           0.0053947,           0.0035718,           0.0057826,           0.0057826,           0.0057826
                 146,            0.015586,           0.0077605,          0.00070386,             0.98308,             0.99141,              0.9861,             0.84937,            0.011964,           0.0051762,           0.0036107,           0.0057355,           0.0057355,           0.0057355
                 147,            0.015002,            0.007733,           0.0007745,             0.98428,             0.99143,              0.9843,              0.8604,            0.011876,           0.0051505,           0.0036416,           0.0056884,           0.0056884,           0.0056884
                 148,            0.014307,           0.0073257,           0.0007226,             0.98448,             0.99142,              0.9846,             0.85706,            0.011742,           0.0051836,           0.0034141,           0.0056413,           0.0056413,           0.0056413
                 149,            0.014826,           0.0075266,          0.00073079,             0.98484,             0.99143,             0.98533,             0.85832,            0.011295,           0.0051778,            0.003395,           0.0055942,           0.0055942,           0.0055942
                 150,            0.014211,           0.0073895,           0.0007458,             0.98546,             0.99143,             0.98624,             0.86012,            0.011673,           0.0051752,            0.003394,           0.0055471,           0.0055471,           0.0055471
